dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17
-0.5150493265057321,-0.5187171080129019,-0.5190878923732498,-0.5200740515971802,-0.517996748340454,-0.5183023148360576,-0.5167398610818168,-0.5110622136091479,-0.5184386495732951
-0.5293674595203129,-0.5322815405433403,-0.5327141292149009,-0.5336143287920891,-0.5318181703394544,-0.5321855429134417,-0.5305692384730719,-0.5249773966665203,-0.5321609077878521
-0.5439998081675299,-0.5461271692600349,-0.5466368651215476,-0.5474435671952393,-0.5460549762447613,-0.5464185286855012,-0.5447456097759642,-0.5392565752640734,-0.5462109920604462
-0.5589463724473263,-0.5602539941630085,-0.56085610009319,-0.5615617668066193,-0.5607071660563292,-0.5610012721522594,-0.5592689749904707,-0.5538997494018304,-0.5605889023911232
-0.5742071523597246,-0.574662015252261,-0.5753718341298054,-0.5759689276262293,-0.5757747397742151,-0.5759337733136476,-0.5741393341166146,-0.568906919079825,-0.5752946387798374
-0.5897821479047707,-0.5893512325277812,-0.5901840672314507,-0.590665049654092,-0.5912576973983961,-0.5912159535271826,-0.5893566871543954,-0.5842780842979892,-0.5903282012265891
-0.6056713590824188,-0.6043216459895803,-0.605291847204262,-0.6056501328902186,-0.6071556409490313,-0.6068420577742587,-0.604921034103768,-0.6000132450563683,-0.6056895897314006
-0.621874785892669,-0.6195732556376357,-0.620683541848939,-0.6209241773345753,-0.6234522330893469,-0.6227915095484036,-0.6208323749647776,-0.616112095549272,-0.6213788042942725
-0.6383924283355555,-0.6351060614719928,-0.6363320984692109,-0.6364871829871618,-0.6400953657691958,-0.6390336475475921,-0.6370907070771636,-0.6325674105590793,-0.6373958449151815
-0.6552242864110553,-0.6509200634926061,-0.6522046998771316,-0.6523391484585659,-0.657011345555884,-0.6555369494284264,-0.6536920485008295,-0.649358962862209,-0.6537407115941392
-0.6723703601191574,-0.6670138907118486,-0.6682684570783977,-0.6684770129396953,-0.6741251229707246,-0.672269971489925,-0.6706164766031293,-0.6664598760880835,-0.6704134043311455
-0.6898303288086596,-0.6833644709106694,-0.6844914332726034,-0.6848851123105079,-0.6913620465148939,-0.6892069464072846,-0.6878298638337923,-0.6838430131186897,-0.6874139231262006
-0.707582493482812,-0.699912844835967,-0.700852371664871,-0.7015363799497323,-0.7086634040464788,-0.7063369283434213,-0.7052958417980676,-0.7014815426417045,-0.7047422679793044
-0.7255503670109306,-0.716584101631554,-0.717345435957202,-0.7184018920155154,-0.7260062541369507,-0.7236590562568608,-0.7229780447614644,-0.7193555527567357,-0.7223984388904569
-0.7436206989091148,-0.733302935628501,-0.7339705543433297,-0.7354527260553823,-0.7433892407402596,-0.7411733301475352,-0.7408440862693055,-0.7374581335693393,-0.7403824358596693
-0.7616772057797334,-0.749995412145438,-0.7507277268232997,-0.7526630190364927,-0.7608123638564166,-0.7588797500154784,-0.7588775205595085,-0.7557890243321368,-0.7586942588869533
-0.7796039248764373,-0.766609297732498,-0.7676169533971461,-0.7700195112369784,-0.7782756234854219,-0.7767783158607017,-0.7770761067876037,-0.7743482250450938,-0.7773339079722632
-0.7973062717982772,-0.7831282459738532,-0.7846382340648006,-0.7875203454362236,-0.7957790196272527,-0.794869027683194,-0.7954398449535803,-0.7931357357082107,-0.7963013831156331
-0.8147444502783288,-0.7995518620566714,-0.8017915688262747,-0.805165521634251,-0.8133225522819316,-0.8131518854829324,-0.8139687350574492,-0.812151556321544,-0.8155966843170404
-0.8319154274029189,-0.8158801459810093,-0.8190769576816137,-0.8229550398310153,-0.8309062214494475,-0.8316268892599737,-0.8326627770992333,-0.8313956868850596,-0.8352198115764737
-0.8488192031720246,-0.8321130977468898,-0.8364944006308065,-0.840888900026539,-0.8485300932879455,-0.8502940390143068,-0.851521971078887,-0.8508681273987009,-0.8551707648939443
-0.8654557775856005,-0.84825071735429,-0.8540438976738075,-0.8589671022208335,-0.8661978204088996,-0.8691533347458518,-0.870546316996456,-0.8705688778625245,-0.8754495442694861
-0.8818251506436696,-0.86429300480321,-0.8717254488106506,-0.8771896464138876,-0.8839217884625215,-0.8882047764546769,-0.8897358148519061,-0.8904979382765532,-0.8960561497030768
-0.8979273223462769,-0.8802407978754674,-0.8895390540413587,-0.8955565326056899,-0.9017200169279478,-0.9074483641408052,-0.909090464645226,-0.9106553086407189,-0.9169905811947275
-0.9137691342040057,-0.8961676031309822,-0.9074847133658864,-0.9140677607962515,-0.9196109463696303,-0.9268840978041909,-0.9286102663764383,-0.9310409889550444,-0.9382528387444382
-0.929511269581542,-0.9123446682415306,-0.9255624267842336,-0.9327233309855842,-0.9376129511940008,-0.9465119774448113,-0.9482952200455658,-0.9516549792195862,-0.9598429223521635
-0.9456028803058417,-0.9291818845414355,-0.9437721942964572,-0.9515232431736877,-0.9557408193541279,-0.9663320030627461,-0.9681453256525743,-0.9724972794342762,-0.9817608320179602
-0.9626403208777675,-0.947101876912211,-0.962114015902523,-0.970467497360562,-0.9740006057642859,-0.9863470556077346,-0.9881605831974981,-0.9935678895991146,-1.0040067173056513
-0.981225680353282,-0.9665264324535996,-0.9805878916024199,-0.9895560935461504,-0.9923927315098809,-1.0066244480997852,-1.0083409926802915,-1.0148682853860693,-1.0266081628268808
-1.00195420627789,-0.9878046694871044,-0.9991938354349258,-1.0087890317305097,-1.0109173189144258,-1.0273520871883874,-1.028691056914272,-1.0364504615900159,-1.0496788758353204
-1.0252673043429923,-1.0110879652224525,-1.018007146292905,-1.02816631191364,-1.0296446981407485,-1.0487793009871895,-1.0493158667103444,-1.0584747296785508,-1.0733990548830548
-1.0513179117776872,-1.0363890532068922,-1.0374296139314652,-1.0476879340955065,-1.048902575280704,-1.0711577965649213,-1.0705087029704714,-1.0811642190138742,-1.0979565526624242
-1.0801117631372563,-1.063708637991556,-1.0581665957663633,-1.0674179124730132,-1.0692368978331843,-1.0947364000405173,-1.092658657814468,-1.1047456036312044,-1.1235390723019691
-1.1116356011194057,-1.0930714754859652,-1.0809757968268172,-1.0877962879176153,-1.091224564290917,-1.1196995054627794,-1.1161585296732937,-1.1294440818938256,-1.1503068818824431
-1.145798426030956,-1.124553845579419,-1.1066149081032224,-1.1096700343074417,-1.1154423508232527,-1.146110913251016,-1.1413966141645346,-1.1554343330420922,-1.1783341268425602
-1.1824251748703318,-1.1582618866798045,-1.135766335731978,-1.133981068327921,-1.1423968257600223,-1.1739730023603216,-1.168660618908234,-1.182782719643615,-1.2076284613226562
-1.2213212019535717,-1.1943034185412331,-1.1687859949871835,-1.1616713289428846,-1.17233718150203,-1.2032858256886927,-1.198050061433355,-1.211492786371457,-1.238189885322686
-1.2622918571340391,-1.2327855563667867,-1.205726233482278,-1.1936187409192032,-1.205294369043213,-1.234088006717673,-1.229568648050997,-1.241564533225619,-1.2700183988427058
-1.3051557475674826,-1.2737913640011926,-1.2465870848333909,-1.230325202349218,-1.2412694992228468,-1.2665631639518438,-1.2632163787611603,-1.2729979602060666,-1.3031140018827159
-1.3498092228005136,-1.3173523813093881,-1.2940401626627023,-1.271885678318597,-1.283600744092712,-1.3010196380955108,-1.298993253563856,-1.3057930673128455,-1.3374766944427052
-1.3962326956881612,-1.363470020885609,-1.3584642461205136,-1.3182947358392993,-1.3444719127620943,-1.3377840147151348,-1.3368992724590611,-1.3399498545459438,-1.3731064765226393
-1.4443875958479226,-1.412025060260885,-1.4205572599659264,-1.3692008107259879,-1.4046525111812003,-1.3771828264791453,-1.3769344354467763,-1.3754683219053279,-1.4100033481793846
-1.4940105373949337,-1.4624750426902438,-1.4577627901168397,-1.423375856589189,-1.4405538742627642,-1.4195040354724258,-1.419098742527035,-1.4123486133251046,-1.4482053906455463
-1.5445957271386987,-1.5139247944799084,-1.4942121969641335,-1.4790089800105761,-1.477166278829975,-1.4648682588940347,-1.463392193699815,-1.4506209412788733,-1.4879359010256055
-1.5955026788549616,-1.565430974298488,-1.5418284655152548,-1.5342422690946707,-1.5265431693603433,-1.5130676956529672,-1.509807406352627,-1.4904119214317006,-1.5296008413441087
-1.6451184324456902,-1.6160505095666964,-1.579925803140668,-1.587223267212346,-1.5659806355136086,-1.5636068863353787,-1.558117660140283,-1.531923598686069,-1.5736417037929016
-1.6905013769451331,-1.6649872954000444,-1.621411370344049,-1.6365041340804622,-1.608312018538561,-1.6159017208155662,-1.6076458671305547,-1.57536696859587,-1.6204999805069746
-1.730217087893618,-1.7122329583000466,-1.6870887061096598,-1.682158748224208,-1.6759044825703657,-1.669367505488947,-1.6574682657704558,-1.6209528827808413,-1.6705790824454654
-1.76639214715957,-1.7586906617692308,-1.751664338899536,-1.7257689972143566,-1.7433001297301418,-1.723441896613656,-1.707023034725319,-1.6688621243212425,-1.7240972046957097
-1.8029048116585273,-1.8055380227053432,-1.7993868509566369,-1.7693063046098816,-1.7946415142157095,-1.777766246538215,-1.7567491180731736,-1.7191790731058518,-1.7810898774249608
-1.8446598443986206,-1.8539566068435762,-1.8406857383783972,-1.8147461786410306,-1.8402224183765725,-1.832251321071817,-1.8066230132592067,-1.771912679785987,-1.8415571006332017
-1.8979292251756648,-1.9051096748396505,-1.88627750508399,-1.864139957915677,-1.8870415707906205,-1.8868965367355486,-1.8542921303117168,-1.8270629443616255,-1.9054988743204433
-1.9474215015765368,-1.9598544930780237,-1.943453010458859,-1.9198804640484357,-1.9376003260014611,-1.941701893529444,-1.9119348791358335,-1.8846298654586917,-1.9633093897244123
-1.9505870516634332,-2.0185535971039714,-1.979338134235377,-1.9846002592784546,-1.9937342604211494,-1.9967759288437377,-1.9427727618874202,-1.944525908172352,-2.0097458116495432
-2.027711739042388,-2.081358537343067,-2.041454070625889,-2.0563341446280563,-2.0570944011648296,-2.052880752050771,-2.0063841274677996,-2.0062518201960073,-2.0941863032748813
-2.145296831116127,-2.1484452178877405,-2.1340010310508664,-2.1286402122367805,-2.1270713241713,-2.111494222632257,-2.1064575199580418,-2.0689091295278788,-2.186067934457515
-2.2056853448429137,-2.220278676195892,-2.2020817648047686,-2.201376082248953,-2.1994102762234093,-2.1742649748830334,-2.181661909425361,-2.1315243297158815,-2.2477909052126166
-2.297061031921987,-2.2976862903070696,-2.2707573665790965,-2.2767284398811856,-2.2710476341691335,-2.2428417023937985,-2.259224863118857,-2.1931251385600152,-2.329585256723931
-2.4496420446874483,-2.381583258074807,-2.3750453606265864,-2.3526243947062313,-2.3453302977431694,-2.3187645613650374,-2.3711322994014155,-2.2534802117404524,-2.430422382754091
-2.539461769439458,-2.472865537697476,-2.4656330895722816,-2.431174567797052,-2.4274425384165625,-2.402920136015098,-2.4571030673646304,-2.3151462801788854,-2.493658904425905
-2.5963334109947596,-2.5721711755591405,-2.5380307218138913,-2.518962204438208,-2.5176565869625165,-2.4954792604530045,-2.5149173505785374,-2.383085120999226,-2.555511860067111
-2.714228424614521,-2.6793193522298338,-2.6441124303078936,-2.6161366841048106,-2.6134654882831114,-2.5969376201688137,-2.6103773649077486,-2.462401627532091,-2.6576953392423555
-2.821558596486784,-2.793378823549381,-2.75410024170817,-2.719530949522846,-2.712332085892166,-2.710550172733372,-2.7063483402863766,-2.5539884600641414,-2.7595405045612558
-2.928782670748524,-2.9122451144048,-2.8650319072084813,-2.82827285832808,-2.8197145136656334,-2.824033648082457,-2.8089838385910184,-2.651714520489452,-2.8670049479572013
-3.0376179782294113,-3.0311802159536456,-2.9752026768064694,-2.938472671746331,-2.94150583251506,-2.930439682403943,-2.9188152719239495,-2.759950626627978,-2.9870400356287976
-3.151899178657265,-3.1438691932974105,-3.0804576137111552,-3.046853480566233,-3.0591947080076354,-3.0513589681415056,-3.0348166901245746,-2.880072125254321,-3.1136162031839265
-3.276157195112035,-3.2464873684255395,-3.188356908666185,-3.164899544885685,-3.175262670520209,-3.1827782383238117,-3.155891519708041,-3.0160389532488754,-3.2407361755570947
-3.412678273025177,-3.3458062280672554,-3.311661373302644,-3.289291357767456,-3.297561349555946,-3.2902600354057996,-3.2811736268520693,-3.1263181162141795,-3.3636534481066525
-3.559304003066183,-3.4590482221401944,-3.452198104735027,-3.4253337404267317,-3.428563527541212,-3.4140320540369604,-3.4103027935993055,-3.2312148654785977,-3.478832476223005
-3.7136844518109116,-3.5928851099072974,-3.5747221382824077,-3.575512797963933,-3.559576261085852,-3.5580441338622677,-3.5433269122705218,-3.3574804162415037,-3.595169630522077
-3.8756309471638932,-3.7383423115693293,-3.706629144204203,-3.712009667115501,-3.6902042317533703,-3.684335998951315,-3.679989045228626,-3.4730737491296964,-3.715956901355174
-4.010824902417909,-3.903455185684294,-3.85420833447829,-3.838715478418635,-3.8421005163762123,-3.813667243952586,-3.818586276316518,-3.5764836628525987,-3.8278926539159843
-4.148692422951462,-4.069558634684615,-3.977036781853849,-3.9702597243339484,-3.98106498567239,-3.9511597863764285,-3.9541065840643057,-3.710613585041733,-3.9290071448392903
-4.294913864769632,-4.206427359951471,-4.094683872086932,-4.096528709196912,-4.098314764438601,-4.0658853847341625,-4.072264003055233,-3.8612620182569457,-4.0274585109600425
-4.414787260362465,-4.324033731018369,-4.23259974391861,-4.215602442530758,-4.212633782783525,-4.182732437275826,-4.179619014869331,-3.9838019615032407,-4.118688253219131
-4.5194113675611,-4.439782815981533,-4.360772868890667,-4.3409279872186515,-4.324141058275774,-4.30036588161056,-4.278864642453686,-4.105365176202923,-4.198099340678784
-4.641331348463712,-4.540424645182805,-4.476999625131589,-4.464699962443172,-4.441730839934445,-4.3914649651155235,-4.396401361575471,-4.220975155111608,-4.271965979408179
-4.752922386587732,-4.636218546362006,-4.595421351235661,-4.580818206464005,-4.55391007096904,-4.501338723320174,-4.50007104669757,-4.325154225234149,-4.34645211604904
-4.840223109100322,-4.7471501701763374,-4.689170828963149,-4.681549777654084,-4.649044634732116,-4.615993691413081,-4.584245622576356,-4.4171153821683795,-4.4208145577237925
-4.938679653603492,-4.844418167789235,-4.785184027389306,-4.766437463135446,-4.745541780651604,-4.71312553802851,-4.677221669828333,-4.50147155139598,-4.488548634897057
-5.032657745349337,-4.919047297396833,-4.876335880101647,-4.853462140913041,-4.831956398396545,-4.790828253741421,-4.754919046499424,-4.569521900152171,-4.519826513604551
-5.112597153423871,-4.998246602774424,-4.949826827503188,-4.931383136204278,-4.887385735554221,-4.854171926997226,-4.812639672966265,-4.632146225263387,-4.560940713192486
-5.174950647101963,-5.081399728598041,-5.012194237444755,-4.9917961601093,-4.961153528498705,-4.896019468833334,-4.849570033510588,-4.700849371985692,-4.615456943725303
-5.239577629255582,-5.134306704493435,-5.073518713084923,-5.0471937297312195,-5.045665482195102,-4.945407389428192,-4.897627687905504,-4.752467892455695,-4.635366614477687
-5.297753467942015,-5.175969658609188,-5.119655123091303,-5.101099113935384,-5.093571803127458,-4.976396513632415,-4.946921493223636,-4.795328261082005,-4.641967451183473
-5.339664883402475,-5.233157881891493,-5.163686689499134,-5.150373399290407,-5.123876623283439,-5.004618957723062,-4.985123168423252,-4.848471439373173,-4.67132208773279
-5.384510815021838,-5.272824923427994,-5.227354158539101,-5.193616392089302,-5.137317576175343,-5.052778554778474,-4.997734185491693,-4.898020640922204,-4.687797299447727
-5.421186428379952,-5.30192644532471,-5.269418196788838,-5.221420584994468,-5.142371187376909,-5.078469462373613,-5.0142448594342515,-4.911280240632545,-4.67565025254134
-5.431984838838093,-5.329655679365623,-5.272321595547714,-5.236809720690536,-5.131667712028201,-5.0690308907601995,-5.023525563873028,-4.930012201803805,-4.66679076453226
-5.437300449091663,-5.346328558693386,-5.266666797072844,-5.245721465479727,-5.1150228020619695,-5.063990146420389,-5.007321658834241,-4.965302745314892,-4.65612158987579
-5.440806691829977,-5.334091019191095,-5.267210557522617,-5.227855643398277,-5.122471764200402,-5.066414616081642,-4.990474874725999,-4.950386323830605,-4.648772432701401
-5.42780677048961,-5.292896707892288,-5.229336001040872,-5.200829784537484,-5.122464005536142,-5.032022060832241,-4.965640321407022,-4.914840987730378,-4.624208320016459
-5.4247056251412635,-5.249263421204409,-5.190491347981164,-5.19730124309545,-5.096040056238912,-5.0023415254612695,-4.940627615544264,-4.920541584427099,-4.599614255763874
-5.396433995705462,-5.209609426079521,-5.1626523586869615,-5.15013615753988,-5.055566143509225,-4.967333074842128,-4.910146754806021,-4.8854013747147516,-4.566512170013005
-5.342474811874996,-5.181863308648258,-5.1160965867853125,-5.077617802594131,-5.02736825188719,-4.920600383087202,-4.8818439458557865,-4.814545573279805,-4.528927163351353
-5.297507089598616,-5.118695035189478,-5.04767570991258,-5.032545766015885,-4.976130234392025,-4.865801167721543,-4.8455000107278465,-4.797883898172399,-4.471275716147187
-5.238425412087997,-5.039759499333667,-4.968686075292572,-4.96353829938364,-4.897932215761813,-4.807999216459013,-4.781380548238877,-4.766610740392008,-4.402476273326875
-5.152287300594231,-4.9614806332666435,-4.896685610437448,-4.86566398954991,-4.820012994020902,-4.746835000996095,-4.714882012258903,-4.681033178899594,-4.3310249562815795
-5.076451244057081,-4.866758915419746,-4.8377205313373,-4.791541811294411,-4.7526454083893785,-4.693061151699294,-4.656999356987882,-4.629992077425028,-4.269564490389837
-5.0050608689404275,-4.7548741652396815,-4.773084040791611,-4.744431369260292,-4.6757665568486635,-4.635872804536707,-4.576727851949807,-4.594598503424185,-4.2176784593288525
-4.912362520352053,-4.681824976230548,-4.702250049663661,-4.678370939204541,-4.595040064038637,-4.568062093717282,-4.497196561324177,-4.5227533672948885,-4.177836423444751
-4.825336391426669,-4.6369600758730085,-4.6280246307911,-4.593201834718866,-4.533186430405022,-4.508528432638958,-4.447683083756021,-4.449194476596268,-4.146078463973055
-4.742436536893973,-4.558045024561238,-4.545573716774271,-4.515081579818929,-4.471665605980246,-4.4459965071294505,-4.400937332824629,-4.411882190776078,-4.101296005064518
-4.662642896034919,-4.488861509117339,-4.472051103360116,-4.463961541720261,-4.4164251795852865,-4.384958249120001,-4.346431663318924,-4.361904879249789,-4.074781823523807
-4.584301271251332,-4.4319286603230585,-4.407524858521175,-4.3992248224146415,-4.361887606020815,-4.333893804139035,-4.3005919269864705,-4.291706649979313,-4.050264735873271
-4.522057235904163,-4.368591258892161,-4.348014427388944,-4.334369569662249,-4.3116677484589285,-4.278815057148586,-4.257913091055401,-4.2490552727990405,-4.019764221194913
-4.46762838195665,-4.317434335393916,-4.310659824440399,-4.307818914668411,-4.270009179079716,-4.238885953235416,-4.22666779885364,-4.225569586245081,-4.009345758969198
-4.409239593458864,-4.2923823127532215,-4.288976343528344,-4.284543161514193,-4.246434478096785,-4.222284884460885,-4.202114978546348,-4.198385774327557,-4.02083960005553
-4.36701337628956,-4.2707570311118905,-4.255098076454805,-4.265391438148248,-4.231732442487692,-4.204893044706001,-4.1871956796230965,-4.188117762563877,-4.037087328919017
-4.346741815452652,-4.257674577930414,-4.239199056707225,-4.245145232294578,-4.216730266420416,-4.196541562820886,-4.19393119895525,-4.2078828319076935,-4.0626554696300845
-4.324873332417292,-4.259967876828842,-4.243209734949545,-4.239077586470875,-4.219587159415193,-4.215726130295559,-4.213122960886904,-4.213464759616381,-4.087954454071763
-4.3119338011402535,-4.254389571791217,-4.2466809173600275,-4.253354187056982,-4.238810690053663,-4.23631646521643,-4.227659736782455,-4.226422669055546,-4.117808084841807
-4.330451218813567,-4.280065581790314,-4.268904660765787,-4.277013543849325,-4.260406060727991,-4.250529635965177,-4.252490643648213,-4.257011697016497,-4.170470393774076
-4.361624019882834,-4.316012176554898,-4.3102259853771905,-4.300727878628312,-4.29689606120844,-4.284677722342053,-4.302946223746034,-4.294419717624356,-4.226007712975237
-4.395646055977034,-4.335528361249743,-4.350952653040287,-4.335620877306343,-4.333508010251632,-4.3282965034603995,-4.344114597484634,-4.325272436348615,-4.2699239285473904
-4.432195323386106,-4.381676518385348,-4.389282409506411,-4.377376286797443,-4.378852550029256,-4.379849372400872,-4.384148330674901,-4.374388196370268,-4.329104216053884
-4.483987714651187,-4.450046250652849,-4.441280821023032,-4.421381450087023,-4.4362146357214955,-4.4387901525818,-4.455511317544785,-4.429491672633799,-4.390980048545489
-4.539027251706466,-4.4968187756018665,-4.489541300495597,-4.469733292881711,-4.486485141168339,-4.500529055165083,-4.529233083919223,-4.480188056248207,-4.445814635577435
-4.642360356085238,-4.553955898843901,-4.543471469804251,-4.529805556999424,-4.567012238879409,-4.612373625366141,-4.621264188598537,-4.558214644870256,-4.533931290174877
-4.706256948161781,-4.637006678518986,-4.605701367524437,-4.6040869625075285,-4.624857706079516,-4.675832571165628,-4.680108456932889,-4.617419957145873,-4.598858937937644
-4.732266901379899,-4.697951360733657,-4.6640611053925,-4.6712340944200355,-4.67845606920838,-4.70104541322225,-4.717076645436933,-4.673006696199195,-4.640931104973754
-4.817372074679431,-4.752146854614503,-4.737708971767003,-4.752022783035674,-4.753922619886964,-4.7814551546421855,-4.776475182497484,-4.763139325093993,-4.706339452277672
-4.895797194376868,-4.828880679043112,-4.817232067483408,-4.835790726602048,-4.820196842670609,-4.84882611346902,-4.832298130105732,-4.833683002854232,-4.773161785681398
-4.925069981783685,-4.895426405918846,-4.896565632945837,-4.902336987371191,-4.880019357306392,-4.8826519121654455,-4.8715955692128405,-4.882623303872766,-4.819763038870224
-5.002780869745521,-4.97356438774406,-4.977134501179098,-4.969535097826428,-4.970849257838398,-4.956898861118245,-4.948853614817645,-4.954658967826947,-4.888736735243475
-5.146999359738272,-5.069783324171089,-5.0707259409024665,-5.059702858563248,-5.0590661166381405,-5.063826466576192,-5.074542054124947,-5.045328902022075,-4.97190911372002
-5.229647979449772,-5.162513010308902,-5.1563175702941955,-5.148173844257548,-5.1372035620116465,-5.126765990982125,-5.157930201928597,-5.118453354550605,-5.0199966271470124
-5.301642668116736,-5.219454649123651,-5.211689877358911,-5.206866994770905,-5.22003254800729,-5.198480077816033,-5.218318568225971,-5.181145386935777,-5.053909766011835
-5.3938008526130785,-5.285357524749864,-5.261917104920517,-5.26185554962475,-5.265046421466229,-5.2575909728951675,-5.269802604378151,-5.230889040249656,-5.0690314004328405
-5.461725170127517,-5.353680326173645,-5.323453076988111,-5.3181972599003275,-5.311963708056925,-5.304010896419118,-5.324275123607316,-5.301659183097311,-5.080543462837481
-5.499403860970181,-5.355711062811343,-5.34961887222857,-5.341196473677013,-5.355163215816742,-5.340227047831849,-5.338178836696699,-5.338349371643119,-5.07550980630753
-5.530038459425114,-5.34885084397117,-5.350563194902446,-5.344249574923708,-5.375691436042451,-5.360221474051949,-5.361311676974748,-5.33693234976978,-5.047892022532531
-5.546248762256331,-5.353741321740521,-5.340217801378029,-5.330731257993804,-5.354097602681805,-5.332748544067712,-5.3664786228400345,-5.339399596371971,-5.002959754219301
-5.507686545872133,-5.330424858797144,-5.312852372391328,-5.316046086526046,-5.309747111772287,-5.283023119137884,-5.306148855545715,-5.320276584295616,-4.93930669746986
