dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07
-1.8840636693814758,-1.831727509799157,-1.8480675035167677,-1.8943325482160278
-1.923559898281883,-1.8814418186283661,-1.897637264142611,-1.9484811080937905
-1.9686297369008117,-1.9349920149965898,-1.948989102519772,-2.005671944820927
-2.023248444719809,-1.9927684626084103,-2.0034039360041107,-2.0673660405361716
-2.0893687305865685,-2.056021351941024,-2.0636199588416275,-2.1350515603324767
-2.166363066692554,-2.126522154343559,-2.132827437424203,-2.2102089062694064
-2.2527383497487676,-2.2060754986015243,-2.214218702215158,-2.2940036166184883
-2.3469899884122922,-2.296476683316792,-2.3103396403663057,-2.3868920930923476
-2.44781142185891,-2.399139973570357,-2.4202680610268663,-2.4889015255681617
-2.554575820692469,-2.5146198076704995,-2.539406516031181,-2.600065112211877
-2.6672086102513166,-2.6428609741176503,-2.662365167212198,-2.72055918812664
-2.785573619884997,-2.780064877486996,-2.784374118154227,-2.850692300280235
-2.909203070287117,-2.9149599588895514,-2.9020228270187713,-2.990140828207666
-3.03741236417543,-3.0432248958594186,-3.0194265841422805,-3.1359779412159416
-3.1696752646276876,-3.1754034012228947,-3.1619258874972784,-3.28297768451032
-3.306406214831941,-3.315609304368474,-3.312349509973944,-3.4265133978830935
-3.449087798822552,-3.458904320849854,-3.4607536737768783,-3.5639730420321887
-3.598693270117315,-3.608047757632062,-3.625629478909963,-3.6945134836932425
-3.75428794556226,-3.7632835388282677,-3.7804028825357934,-3.819944286500061
-3.9132477215138923,-3.91208403770367,-3.900595646299462,-3.9440565105893772
-4.069158663171135,-4.0485035337094075,-4.02824326382472,-4.0679777462118984
-4.212444987140896,-4.178880212543049,-4.164849369290119,-4.188500939106195
-4.344172010175083,-4.305043739312555,-4.274465817487135,-4.30097195758487
-4.467841583300617,-4.420279045611318,-4.3858197885529195,-4.401366989277898
-4.583880631374444,-4.526589528798104,-4.5081251397281905,-4.488824340306718
-4.701424249940885,-4.638168411373442,-4.610838647277371,-4.568070891191053
-4.825138810742636,-4.751935068066183,-4.6899236927651256,-4.650541542549354
-4.959991693021465,-4.8618343320164294,-4.7831375604994095,-4.750508652534023
-5.0796399321270265,-4.972622697167191,-4.883414785391313,-4.834444748695682
-5.171861512469355,-5.06455431095476,-4.951714847298478,-4.912147299648661
-5.2586601418781695,-5.130721271343715,-5.003777068446135,-4.993278747431697
-5.337125829820025,-5.193686935904044,-5.067159156869911,-5.040030206811019
-5.3817152322986095,-5.233399815486092,-5.10707075384774,-5.057773339461506
-5.425779519197267,-5.266351850677001,-5.126424660299609,-5.08445430313484
-5.487351322807148,-5.307411833985913,-5.163540537138187,-5.105453027322325
-5.526872983114396,-5.3372829090838145,-5.199137278260213,-5.108812085891191
-5.557629955045234,-5.350899792574394,-5.217873093240934,-5.115237859215926
-5.590101728948242,-5.363491768554695,-5.231740982677889,-5.112527512067351
-5.601913907174509,-5.363785570070785,-5.230376674940391,-5.109957291630161
-5.593817269301014,-5.3513827513716254,-5.208632581641496,-5.0935093766012365
-5.58017190250892,-5.337204108225513,-5.187458242775103,-5.058945237089615
-5.552936741854972,-5.3050929672494025,-5.159998715391749,-5.031770784869668
-5.513007250409771,-5.256123207112655,-5.109712520381549,-5.000527231482824
-5.466715002341567,-5.190515167074517,-5.054858524379745,-4.941659442860373
-5.404591148542426,-5.131403238048943,-5.009965498038901,-4.874016062577306
-5.329671979840157,-5.069374312062541,-4.955174189526196,-4.805956665698403
-5.263035335626904,-4.985822517259272,-4.883544739111994,-4.726216331928663
-5.185733547564218,-4.904410551060186,-4.810727126105116,-4.64545449098456
-5.087124977928755,-4.838413860952318,-4.743930466176557,-4.5766355422722595
-4.996494622779045,-4.760837882377712,-4.6727252742542085,-4.519090121083906
-4.91732913747137,-4.6705515094395995,-4.589981273672294,-4.466980366764256
-4.8248789742094,-4.595814404713622,-4.51596120869321,-4.417774034773617
-4.723278120972253,-4.5431562311518805,-4.470055478725902,-4.375112521546879
-4.659761870185605,-4.494400822288447,-4.431623201780496,-4.342267160620981
-4.607658465888681,-4.442125916404053,-4.3860081360151755,-4.3162703923928065
-4.537044542796043,-4.39913212220543,-4.3530213848322665,-4.294270577383822
-4.4796250459605576,-4.371322744352108,-4.334495934921569,-4.276237587711865
-4.4567720753553655,-4.349234216765416,-4.316169475390672,-4.261037014551721
-4.433141558792608,-4.334424059211597,-4.29880484354755,-4.250846991386152
-4.409710358217092,-4.339189513321588,-4.292441279422843,-4.254538592743353
-4.419223210190216,-4.361914635949955,-4.301818735391123,-4.27763477443886
-4.440702363814473,-4.389641767800055,-4.326238600618547,-4.316335630349334
-4.466057063433629,-4.41652396844226,-4.366223721048136,-4.363131347665552
-4.502959008262088,-4.445403853353759,-4.424062921770519,-4.410959684276486
-4.554016043995359,-4.481580050300289,-4.49391923143212,-4.457626568835824
-4.596720320775501,-4.529508789984021,-4.5560407373555964,-4.509320824350041
-4.640511389878282,-4.589886325726934,-4.620727188154112,-4.571458044042294
-4.703931138571255,-4.660685193383552,-4.679699306415287,-4.637945548632402
-4.777290419505846,-4.738641069323333,-4.726013462476448,-4.700855832617586
-4.844745039761626,-4.818631515433879,-4.799997592458351,-4.7606687216400845
-4.926782929731079,-4.897918232995832,-4.884521944960989,-4.839054816058056
-5.025138969085276,-4.980215208005138,-4.957878852847953,-4.906062794135605
-5.09705746737028,-5.071954219575218,-5.060802277369518,-4.964004153461219
-5.172588406911382,-5.162015355928725,-5.1774463527061245,-5.0494628852591354
-5.2705771843706835,-5.250076383769491,-5.255652618558526,-5.13732824692404
-5.356450882206167,-5.340393624067071,-5.345780324825035,-5.206696958032451
-5.443228523656908,-5.433500201346198,-5.439495887442007,-5.27314604440864
-5.5338166630668875,-5.5132407556516565,-5.5000643667762175,-5.335763364707444
-5.591394457653366,-5.563339255828321,-5.561682584318004,-5.360181791730145
-5.653146560785749,-5.617520538033627,-5.617645704424828,-5.3967567738687485
-5.6922893319398415,-5.64124230610687,-5.63961783550599,-5.411133626778121
-5.655642874245044,-5.611577299457153,-5.632209160815568,-5.37145634435098
-5.594606031640319,-5.54583241382849,-5.584742772796588,-5.309684738553415
-5.508799582017977,-5.4685513792851985,-5.484650866175381,-5.224711789565944
-5.35406404872675,-5.3465192305902205,-5.361865200514072,-5.093867998340647
-5.175992311598589,-5.190927323028944,-5.224370679722549,-4.948006222487095
-5.0009373174592895,-5.039026262811788,-5.072829441451137,-4.815653575904915
-4.812083197835716,-4.878529529088266,-4.917426129720765,-4.656390433105429
-4.628671487819045,-4.712384141379261,-4.764899785244222,-4.501702870773224
-4.458522608655414,-4.554052933392575,-4.615393816166364,-4.366635510023466
-4.314770466047559,-4.433757163923599,-4.476177427522967,-4.239317650588248
-4.198891906161601,-4.33259526224563,-4.36214534609771,-4.130510168652229
-4.111447827357166,-4.254312074844347,-4.280150507029856,-4.060568719338194
-4.053860828769686,-4.206343515537286,-4.228534721271992,-4.01315198015097
-4.030325253976082,-4.187664809285293,-4.208019968839475,-3.9740702352466486
-4.047180143049866,-4.195186157415709,-4.222333048477171,-3.9569990151089955
-4.110489665362934,-4.236020357914443,-4.2766850652447435,-3.9734552032411914
-4.225811012845253,-4.3332306031021695,-4.3788115441865365,-4.027913399103981
-4.408329969604181,-4.492936956216738,-4.53614694503755,-4.123238558345352
-4.687902570787026,-4.709182763125438,-4.748990307936459,-4.262379508641124
-5.0898312063256,-4.995917815248254,-5.020403311326311,-4.448697150810459
-5.61270037710416,-5.385576716810723,-5.3611402278221405,-4.685631997517096
-6.236760522625209,-5.848135741300494,-5.760808320666428,-4.9759388291168545
-6.917683136213685,-6.3390779609666215,-6.186769175144632,-5.300739121598328
-7.551394749829441,-6.824821237628197,-6.613651668242621,-5.645546672671835
-8.076979589987243,-7.249041437007314,-6.967353854950936,-5.989402822013238
-8.445573597763886,-7.528499196866788,-7.186556420635125,-6.280525915663576
-8.587803849852323,-7.643623679521934,-7.252900367376569,-6.482054624347741
-8.510395047608021,-7.590743227223144,-7.150434581059335,-6.5816983254006
-8.210694348571433,-7.3440633118134215,-6.850702534100316,-6.55956678483515
-7.601485841602641,-6.889496114343449,-6.356439635428313,-6.393788445645043
-6.740039439800252,-6.237815322735072,-5.699312954393265,-6.074431680738655
-5.775197364272028,-5.445722513095322,-4.925661153033164,-5.589564443065172
-4.753225908486029,-4.587788641198777,-4.113997898253318,-4.966980048333819
-3.7848025341827465,-3.758219533008062,-3.3456358179850993,-4.266257809583434
-3.015899564299263,-3.033546656759459,-2.6979382682176585,-3.549629243430961
-2.444732839285282,-2.4599831333153848,-2.188400296046165,-2.8861169196256955
-2.029959110337333,-2.0421780937818848,-1.8193497072179805,-2.35838199298308
-1.466114290814678,-1.4731235712609632,-1.3140227879964705,-1.676438580044436
-1.010482740430899,-1.010079938985879,-0.8980423279055534,-1.127947807151757
