dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09
-0.7795155357117778,-0.776778976638184,-0.7800010044090981,-0.7942398268099395,-0.7831355469115239
-0.7962842700774332,-0.7933167304677569,-0.7968611316873422,-0.8116247791940054,-0.8010408595318723
-0.8129115419636833,-0.8098922644720916,-0.8138493966640568,-0.8291180653908669,-0.8192295852175904
-0.8293973513705397,-0.8265055786511654,-0.8309657993392647,-0.8467196854005693,-0.8377017239686894
-0.8457416982980023,-0.8431566730049895,-0.8482103397128754,-0.8644296392231128,-0.8564572757851694
-0.861944582746071,-0.8598455475335527,-0.8655830177849566,-0.8822479268584518,-0.8754962406670417
-0.8780081295691048,-0.8765722022368437,-0.8830838335555313,-0.9001745483066316,-0.894818618614272
-0.8939763626681725,-0.8933366371149078,-0.9007127870245426,-0.9182095035676753,-0.9144244096269177
-0.909968373808772,-0.9101388521677223,-0.9184698781920133,-0.9363527926415259,-0.9343136137049443
-0.926139773164266,-0.9269788473952759,-0.9363551070579661,-0.954604415528229,-0.9544862308483517
-0.9426473956438828,-0.9438566227975684,-0.9543684736223441,-0.9729643722277842,-0.9749422610571288
-0.9596459513025252,-0.9607721783746229,-0.9725099778851815,-0.9914326627401466,-0.9956859270173938
-0.9772482511483305,-0.9777255141264163,-0.9907796198465008,-1.0100113679988796,-1.0167813854411862
-0.995492038325017,-0.9947166300529375,-1.009177399506268,-1.0287606876387032,-1.0383878642354263
-1.0143785375684389,-1.0117455261542092,-1.0277037236663205,-1.0478578548469728,-1.0607047792960658
-1.033912955265703,-1.028871378394672,-1.0464145641723235,-1.0675441733679691,-1.083932374653057
-1.0542381236306142,-1.046459731305663,-1.065531527285566,-1.0880640217176734,-1.1082666716503582
-1.075769161838673,-1.0651878575152522,-1.0853998689257083,-1.109659697478503,-1.1338437576058822
-1.0990677539895162,-1.0857975653320977,-1.1063780184971848,-1.1325153795317648,-1.1607046486427293
-1.124702281584871,-1.1090306632513602,-1.1288239986025133,-1.1566982132060046,-1.188850172894945
-1.1532359197393363,-1.1355697838037941,-1.1530402668005082,-1.1822112732729353,-1.2182803303625633
-1.1850942177407888,-1.1657911909532346,-1.1791636462342696,-1.2090545597326015,-1.2489951210455614
-1.2204304379154793,-1.1997594205667723,-1.2072073103884806,-1.237228072584992,-1.2809945449439737
-1.2592512776654872,-1.237474472830968,-1.2371712592631183,-1.2667318118300501,-1.3142786020577546
-1.3015246361134816,-1.2788397370367988,-1.2690554928582856,-1.297565777467844,-1.3488472923869153
-1.3468115920160133,-1.323168481522828,-1.302860011173891,-1.3297299694983737,-1.3847006159314674
-1.3940560136237423,-1.36912329341593,-1.3385848142099006,-1.3632243879216164,-1.4218385726914222
-1.4419552034343384,-1.4152095221600236,-1.3762299019664057,-1.398049032737572,-1.460261162666757
-1.4892023892098336,-1.459932450484291,-1.4157952744433828,-1.4342039039462522,-1.4999683858574944
-1.5345228995896152,-1.5018939718270872,-1.4572809316407986,-1.471689001547634,-1.5409602422636115
-1.577075665177108,-1.5403670005602295,-1.5006028183354827,-1.5105043255417514,-1.583236731885131
-1.616852166367528,-1.575805577714459,-1.545221752388386,-1.550649875928548,-1.6267978547220423
-1.654359985126439,-1.6094257751755325,-1.590125114781256,-1.5921256527080574,-1.6716436107743164
-1.6901920683555092,-1.6425991266029771,-1.6341979180140926,-1.634931655880314,-1.717774000041993
-1.7249416750271962,-1.676697313009504,-1.6763251712915237,-1.6790678854452836,-1.7651890225250497
-1.7591752825160143,-1.7130111154267753,-1.71553117210824,-1.724534341402955,-1.8138886782235035
-1.7933079309921824,-1.752300869439216,-1.7521052365982088,-1.7713310237533508,-1.8638959099258443
-1.828241447435903,-1.79472211745923,-1.7881110552385056,-1.8194579324964482,-1.9155052032194022
-1.865912671479134,-1.8402750068401248,-1.8262731539461246,-1.8689227089937959,-1.9694118303266863
-1.908688118939722,-1.8889595375818544,-1.8693282500838793,-1.9200727624901903,-2.0264654423165442
-1.9589401592036326,-1.9408810710939521,-1.9199206305869894,-1.9740405335675861,-2.087517882479369
-2.0188036827916336,-1.9967986438299592,-1.9796539137013611,-2.0324438954711583,-2.153398051317163
-2.089008608055451,-2.0581974075267455,-2.0485744285498413,-2.0969332492940906,-2.2246633065330514
-2.1686124677169913,-2.1267404078926804,-2.126107232649315,-2.16915135476803,-2.301470219194988
-2.25616204860421,-2.2040907829588035,-2.211665097769105,-2.2504012037414327,-2.3838566342092693
-2.3502064936159286,-2.2918063093466117,-2.304613293479372,-2.3412007567255047,-2.47228440552193
-2.449631916303963,-2.3907910886336143,-2.4042122645265183,-2.441582541568266,-2.5678469932714165
-2.55426678390902,-2.501223107114004,-2.5096815387985774,-2.5514434048694854,-2.671854135364629
-2.6646406767826423,-2.6228149165142893,-2.6204333012237955,-2.6700562402544223,-2.784587399141401
-2.7814960704215426,-2.7523354950481576,-2.7376830754735297,-2.7960091576108654,-2.9040399499488556
-2.9059047869114467,-2.884370634263087,-2.865237489801888,-2.9277262218821702,-3.026502835695595
-3.039007584947467,-3.0224962222773,-3.00698236140434,-3.0636314372304754,-3.148448877694676
-3.18167192041991,-3.1750914319649044,-3.1580492811600496,-3.2022487719182613,-3.267656741500844
-3.3346202188857657,-3.3370558775838672,-3.305095669647784,-3.3423354887478185,-3.3835501933083783
-3.4972404650736397,-3.4963427579983604,-3.4446599532174673,-3.48219279983569,-3.4973402579099573
-3.64966830671915,-3.6505599113731364,-3.5909397450609446,-3.619477458344619,-3.6109807997120984
-3.7911400602311067,-3.798627878912447,-3.7397203207735514,-3.7531108118541168,-3.7251886286761424
-3.934670506368667,-3.935813985300058,-3.873468004361166,-3.88509569050039,-3.8386054008285844
-4.068193963425933,-4.06449869821579,-4.0036916636687065,-4.016586995753158,-3.9489842566401596
-4.18509072310722,-4.191864753380367,-4.142827894409646,-4.1396246236647425,-4.054534451620106
-4.312872250573832,-4.3190665118297895,-4.272794568894125,-4.25025852958226,-4.1540030356573485
-4.45870950969948,-4.440233131406598,-4.387022002797079,-4.369518739931272,-4.246577253613793
-4.599761250736401,-4.554023965531633,-4.5008100226974195,-4.482860943720016,-4.332011021290356
-4.725204187608609,-4.665849164353137,-4.610368599489653,-4.566793470483277,-4.410331660544398
-4.852871014304424,-4.774322067068487,-4.713598512257596,-4.652574804912217,-4.481573326491952
-4.99013821735635,-4.87856861513057,-4.8205433788829115,-4.753530378690158,-4.545756033933481
-5.092471071365078,-4.981046269365379,-4.900160632408535,-4.830829871349221,-4.602875237704438
-5.180236781810084,-5.072494408831716,-4.957499745372485,-4.885700204471459,-4.65291787801886
-5.274492962922654,-5.140984529741866,-5.039633029560583,-4.944724409867467,-4.6964410614748715
-5.349767406367272,-5.19395952837657,-5.10016808472692,-4.992752495871036,-4.735537590123767
-5.415390450116371,-5.247001909665363,-5.129869430696465,-5.027111381403387,-4.771903306962554
-5.481336493452506,-5.3003701584553085,-5.169733799654768,-5.066110068637034,-4.804036499285985
-5.540338083255193,-5.341241623996456,-5.222419695116236,-5.109427274408944,-4.829350100063556
-5.590546326318298,-5.3709141364572694,-5.246202038537274,-5.137372513503454,-4.8461855330247205
-5.622610948788349,-5.4081629984106545,-5.25960274695795,-5.147002239447852,-4.8521242689676125
-5.647837145746434,-5.418049582329991,-5.268389930562444,-5.143484121656633,-4.845222136716922
-5.669159094482455,-5.404277343221741,-5.264601335322903,-5.126980280991768,-4.827096565531354
-5.65390194072329,-5.401089020503235,-5.252163382443973,-5.106544172456984,-4.800855722590677
-5.63664544729254,-5.386294625739049,-5.221055374831776,-5.087349875539831,-4.768009340916296
-5.620792789963991,-5.339592679670194,-5.191669922158531,-5.0527207899580615,-4.729126381798
-5.562389096776707,-5.290808419611022,-5.159647565806387,-5.008508749365786,-4.685094330364365
-5.503863909061066,-5.244297898279428,-5.121001965230165,-4.964658945768872,-4.636888957582551
-5.460470443313887,-5.17013036770826,-5.057826165451678,-4.908073458925111,-4.585161922800364
-5.383758421839475,-5.08362393564081,-4.992554375582518,-4.8450797064596545,-4.530707100907653
-5.311685331060006,-5.008558945245511,-4.937371103021883,-4.790656646841445,-4.474689363831301
-5.246108248810964,-4.944759413732607,-4.870633865587178,-4.731210843071472,-4.418082020406667
-5.147527679763806,-4.866439001887949,-4.7903017080638,-4.65843011881218,-4.361449857861874
-5.045339463752095,-4.78368816936806,-4.718943609208674,-4.588804336830435,-4.305393841707633
-4.961260160581918,-4.7127000454030625,-4.6499262770075855,-4.5274316213000585,-4.251481805893196
-4.869320777366488,-4.634508931439041,-4.565728063880874,-4.473101004738954,-4.202358274497755
-4.768416620142039,-4.547404175984503,-4.483906485326793,-4.424788852333307,-4.160866105121994
-4.68454772250845,-4.470287894656098,-4.422707029878524,-4.382031522994527,-4.129790531651821
-4.609593103451613,-4.408666524579536,-4.377589785356991,-4.344784202119138,-4.110975007870127
-4.542403071787965,-4.361541423564319,-4.337256376977029,-4.3131947269032995,-4.103491455164919
-4.488436125739634,-4.327978730472898,-4.302071605541665,-4.288138966171301,-4.104783963505628
-4.451981646159078,-4.308125868949157,-4.2820942477751665,-4.2712152957838665,-4.113941148314393
-4.430989811181689,-4.303339456309477,-4.282268311195112,-4.264164404131993,-4.131295170356742
-4.422965276375027,-4.3134297615155,-4.297337077406553,-4.2687271636963375,-4.156467847622145
-4.4275499410777,-4.334850136247701,-4.320441679786956,-4.2865053131553505,-4.189218753994021
-4.445488561646499,-4.3640794168164465,-4.352026625039366,-4.3183770631369045,-4.229363019259566
-4.477001422092945,-4.400115750971014,-4.393568844671535,-4.363209335606775,-4.274769440573581
-4.518423103479023,-4.443059253514957,-4.439264880922093,-4.416264077134372,-4.322773822639306
-4.561503509604939,-4.49500878101847,-4.483295288239378,-4.472499299866695,-4.37307845705485
-4.606012966730901,-4.559260102136238,-4.541342700428249,-4.532103512592197,-4.4272486339216135
-4.6666512902358654,-4.630680947548524,-4.625052687552722,-4.597355375757692,-4.487023385332861
-4.740508861030435,-4.696232131337863,-4.701146687349428,-4.664054027182136,-4.553084908825366
-4.807861051882219,-4.757188842928361,-4.760669713702362,-4.728327406227073,-4.624213856162044
-4.882162499283467,-4.828572420305861,-4.839922829136717,-4.805145455843032,-4.697985935738342
-4.9722920596087965,-4.902843690426886,-4.927266367183254,-4.896768329157391,-4.771881393403541
-5.052947244348516,-4.982578740982407,-4.9952170221206735,-4.977227651438205,-4.844166744580821
-5.128168746037112,-5.085578574247672,-5.087699036341414,-5.062427780417792,-4.914711484439571
-5.223555887629653,-5.193711077273034,-5.2084369127973815,-5.166821633741677,-4.984651228617123
-5.32668002278206,-5.295915392287429,-5.3074418491498,-5.2575779548150114,-5.053499103759154
-5.416349627633483,-5.395964764937194,-5.391356102731911,-5.3366687710769645,-5.117183172742881
-5.496985341248763,-5.478548668197234,-5.483428150863534,-5.426796302291021,-5.176342007999955
-5.5783044315817705,-5.54104333994764,-5.559861040933245,-5.498322387852508,-5.229533691078178
-5.652399843222258,-5.595399881878777,-5.615142019977637,-5.55148658218321,-5.262356311904623
-5.705200434625368,-5.63957802572979,-5.667946538113086,-5.6125825633701,-5.289269526471535
-5.723832258104746,-5.650292062284916,-5.693429670154334,-5.6301235423982146,-5.281880583371765
-5.695627738883605,-5.621417829232743,-5.6791487455412755,-5.60430404809531,-5.235265697754404
-5.629354513921729,-5.572869025648677,-5.626865548725894,-5.567780003046764,-5.173769888104843
-5.516330452172309,-5.49127004239956,-5.537442367640683,-5.483720959280626,-5.080658972868492
-5.36002816640059,-5.359939973730531,-5.412439715140661,-5.351266800690883,-4.948070367362354
-5.189982074065886,-5.212233990901456,-5.26654444578269,-5.222242772674193,-4.818292594227281
-5.015907216741144,-5.0669250095046445,-5.109510875834312,-5.085622065511538,-4.695289432254617
-4.828496450401794,-4.902660626229095,-4.9481887788557035,-4.924808664748738,-4.552831890375626
-4.640709106692291,-4.737514885015261,-4.790661498272889,-4.773206848235635,-4.4195942973236715
-4.464890123810463,-4.587497837315948,-4.641575851961579,-4.631169645734108,-4.295617927322553
-4.30653862846919,-4.450008740199653,-4.517690403722901,-4.496812498396126,-4.185457345607467
-4.185318340823969,-4.337046794414706,-4.421975614634081,-4.384825264945727,-4.099129282068175
-4.0958024046064025,-4.2521324241767475,-4.352734184146184,-4.301241567241874,-4.0377810408190244
-4.035231423056161,-4.19964262535101,-4.308733156092216,-4.24628869178071,-4.000348477824701
-4.0088361929687695,-4.1830209250162955,-4.289002562115791,-4.220248292952433,-3.9886462231060844
-4.02749401044426,-4.202686919865449,-4.300380236174865,-4.225595059172134,-4.001831395993863
-4.09595220107002,-4.256781981946337,-4.3524665137842256,-4.267509392615571,-4.038701627350439
-4.209652449690449,-4.353447732199351,-4.441171749504052,-4.351968618695948,-4.104515415279532
-4.405474848446403,-4.513615261276833,-4.577051167168655,-4.4845891555295685,-4.204446779143365
-4.691446081982387,-4.723784818444889,-4.77744187185499,-4.6604555944366375,-4.335515893633376
-5.07026577069792,-4.999726980048604,-5.0381289901757595,-4.885379488222582,-4.504996788630715
-5.572313119831233,-5.366010596750067,-5.368052049508859,-5.17657436822173,-4.724821232746011
-6.195915028657399,-5.817221001568598,-5.7632980665523785,-5.5036827159817365,-4.966503402438461
-6.861954722178551,-6.301403824907794,-6.1931657267890525,-5.84826296798111,-5.222480690812096
-7.515455022648507,-6.804743289077209,-6.6220068834282015,-6.219982285827546,-5.515495875839218
-8.089125843658673,-7.262144350055656,-7.000644759790334,-6.550062871903675,-5.78282733858029
-8.473214849487027,-7.558360018660138,-7.238688580349416,-6.762989082117543,-5.953166276534059
-8.615864237553794,-7.672850133000887,-7.299195268586682,-6.849045560116455,-6.046162981703347
-8.53194946769432,-7.606363701681041,-7.193219893549835,-6.7962867139761665,-6.037714988402561
-8.190135714295142,-7.3255392762980485,-6.8806348764950505,-6.546742987631075,-5.86131883526128
-7.5592088201740415,-6.8215733323741405,-6.342214256629784,-6.103370661010617,-5.524285009123311
-6.710279026886137,-6.1595647518727645,-5.641332491854852,-5.508035044861822,-5.048594310312133
-5.737671161182117,-5.371903257299312,-4.853958965033836,-4.801664329277813,-4.44951684389683
-4.727230044787179,-4.518959721105384,-4.029577713698541,-4.04383380808742,-3.7861976999053413
-3.788830019751188,-3.695089541744013,-3.257275049614267,-3.315155312326712,-3.124359470685177
-3.0234881200366943,-2.9826329886453298,-2.615857786439166,-2.6857822703392538,-2.5184539908612034
-2.44096660890622,-2.4168052794324133,-2.1187674532016745,-2.1726380898369384,-2.013613276504615
-2.0325773193631926,-2.0078740801654957,-1.7613438691653835,-1.7964836370733392,-1.6339143018896853
-1.4685550583296627,-1.4507677224389859,-1.271923980270962,-1.2911432985022708,-1.1556144750918125
-1.0095166465388865,-0.9969561928534999,-0.8683273142485608,-0.876581274142236,-0.7727835116628524
