dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23,dQ_dV_25,dQ_dV_27,dQ_dV_31
-0.32488814236942287,-0.3257849430610691,-0.3238329188393436,-0.32264519032172534,-0.32096914368694346,-0.3183634559631514,-0.31505906590176663,-0.31204603178888424,-0.308267050583811,-0.3065764873110425,-0.3072232865702745,-0.30425656424646375,-0.30140572850298214,-0.30013297184326576,-0.28830107438288904
-0.33349816510284425,-0.3341159420498456,-0.3324706258978267,-0.3311573295885524,-0.32943789218478514,-0.32680517756812155,-0.32343971408535027,-0.31949471161507287,-0.3157403565582513,-0.3139217942283949,-0.3144853424912526,-0.3119896652435159,-0.3092149802585482,-0.3078660923590064,-0.29552109553868605
-0.34240192620030707,-0.3427239532632825,-0.34134150882780434,-0.33990086501021327,-0.33813687578780216,-0.3354832820208913,-0.3320641311426698,-0.3272596076988634,-0.32353515107727165,-0.3216097321935877,-0.3221029953653215,-0.32004880611596037,-0.3173491060704009,-0.3159332122083811,-0.30310638367564025
-0.3515994256618796,-0.35160897670140234,-0.35044556762924234,-0.3488757965866512,-0.34706609449598325,-0.3443977693215175,-0.3409323170737139,-0.3353407200403354,-0.33165143414083786,-0.329640301206598,-0.33007624519251516,-0.32843398686381986,-0.32580810593851767,-0.3243343313914011,-0.3110569387938199
-0.36109066348755053,-0.3607710123641709,-0.3597828023021407,-0.3580821243179116,-0.35622554830936226,-0.35354863946998877,-0.35004427187845977,-0.34373804863945456,-0.34008920574894996,-0.3380135012674828,-0.33840509197285656,-0.3371452074870831,-0.3345919798629098,-0.33306944990803233,-0.3193727608932022
-0.3708756396772174,-0.3702100602515998,-0.36935321284655637,-0.36751984820400596,-0.36561523722790534,-0.362935892466237,-0.3593999955569302,-0.3524515934961756,-0.3488484659016536,-0.34672933237621917,-0.3470895357062773,-0.34618246798573865,-0.34370072784358857,-0.3421385677583089,-0.32805384997375314
-0.38095435423093704,-0.3799261203637116,-0.3791567992624437,-0.37718896824490006,-0.37523516125163503,-0.37255952831033035,-0.36899948810910244,-0.3614813546105552,-0.35792921459894844,-0.35578779453277326,-0.3561295763928002,-0.3555457683597865,-0.35313434988056547,-0.35154168494225363,-0.337100206035484
-0.3913268071487778,-0.3899191927005291,-0.38919356154981416,-0.3870894844405939,-0.38508532038056276,-0.38241954700231423,-0.37884274953497654,-0.37082733198258216,-0.36733145184076654,-0.36518888773716757,-0.3655252140324365,-0.3652351086092722,-0.3628928459737836,-0.36127880145980956,-0.3465118290784289
-0.4019929984306487,-0.4001892772619954,-0.3994634997086678,-0.3972213967911217,-0.3951657146146431,-0.3925159485421091,-0.3889297798345865,-0.3804895256122109,-0.3770551776271987,-0.3749326119893908,-0.3752764486251863,-0.3752504887341275,-0.3729762161233112,-0.37134991731101086,-0.35628871910254245
-0.4129529280765496,-0.4107363740481333,-0.40996661373901594,-0.40758470529647184,-0.40547634395387605,-0.4028487329296923,-0.3992605790079324,-0.39046793549949826,-0.3871003919582222,-0.38501896728942037,-0.3853832801710496,-0.38559190873436366,-0.38338446032915957,-0.38175503249584614,-0.3664308761078473
-0.424206596086583,-0.4215604830589541,-0.4207029036408358,-0.4181794099565877,-0.4160172083983071,-0.4134179001651547,-0.4098351470549574,-0.40076256164444435,-0.39746709483376896,-0.39544795363727875,-0.39584570867003777,-0.39625936861004907,-0.39411757859124924,-0.3924941470142812,-0.37693830009434354
-0.4357540024607034,-0.43266160429440104,-0.4316723694141388,-0.4290055107715375,-0.4267883079478907,-0.42422345024842806,-0.4206534839757183,-0.4113734040469922,-0.4081552862538843,-0.4062195710329889,-0.40666373412213946,-0.4072528683611154,-0.4051755709096256,-0.40356726086633904,-0.38781099106204237
-0.4475951471988651,-0.44403973775451955,-0.4428750110589136,-0.44006300774128704,-0.4377896426026268,-0.43526538317953517,-0.43171558977021507,-0.42230046270721006,-0.41916496621862515,-0.4173338194765507,-0.4178373565273433,-0.4185724079875513,-0.41655843728431136,-0.4149743740520649,-0.3990489490108985
-0.45973003030109116,-0.45569488343933245,-0.4543108285751828,-0.451351900865825,-0.44902121236254966,-0.446543698958476,-0.4430214644384137,-0.43354373762507525,-0.4304961347278891,-0.42879069896795274,-0.4293665758856492,-0.4302179874894478,-0.4282661777152839,-0.42671548657140196,-0.41065217394095727
-0.4721586517673814,-0.4676270413487942,-0.4659798219629579,-0.46287219014518544,-0.4604830172276934,-0.4580583975852506,-0.45457110798030276,-0.4451032288005309,-0.442148791781699,-0.4405902095071724,-0.4412513921970913,-0.4421896068667025,-0.44029879220252044,-0.4387905984243844,-0.42262066585219604
-0.48488101159772445,-0.47983621148293876,-0.47788199122219344,-0.4746238755793797,-0.47217505719800107,-0.46980947905984755,-0.46636452039591625,-0.4569789362336338,-0.4541229373801003,-0.45273235109424387,-0.4534918054616469,-0.4544872661193495,-0.4526562807460664,-0.4511997096110122,-0.43495442474463747
-0.49789710979213175,-0.49232239384177773,-0.4900173363529234,-0.48660695716837377,-0.4840973322734726,-0.48179694338227824,-0.4784017016852431,-0.4691708599243839,-0.4664185715230588,-0.4652171237291327,-0.46608781567929325,-0.46711096524744566,-0.4653386433458991,-0.463942820131274,-0.4476534506182589
-0.5112069463505918,-0.505085588425277,-0.5023858573551252,-0.49882143491215625,-0.49624984245415366,-0.49402079055254267,-0.490682651848249,-0.48167899987278134,-0.4790356942105746,-0.478044527411862,-0.47903942285007595,-0.4800607042509341,-0.47834588000199574,-0.4770199299851584,-0.4607177434730602
-0.5248105212731389,-0.518125795233425,-0.5149875542288102,-0.5112673088107841,-0.50863258774001,-0.5064810205706295,-0.5032073708849908,-0.49450335607883744,-0.49197430544268184,-0.49121456214244297,-0.4923466269739834,-0.4933364831297695,-0.4916779907143792,-0.4904310391727109,-0.47414730330904153
-0.5387078345597616,-0.531443014266256,-0.5278224269739553,-0.5239445788642115,-0.5212455681309621,-0.5191776334365387,-0.5159758587954911,-0.5076439285425182,-0.505234405219369,-0.5047272279208642,-0.5060094280509816,-0.5069383018840427,-0.5053349754830379,-0.5041761476938745,-0.4879421301262369
-0.5528988862104484,-0.5450372455237471,-0.5408904755906065,-0.536853245072416,-0.5340887836271009,-0.5321106291503043,-0.5289881155797047,-0.5211007172638347,-0.5188159935406134,-0.5185825247471144,-0.520027826081082,-0.5208661605137082,-0.5193168343079947,-0.5182552555486495,-0.5021022239246122
-0.5673836762251995,-0.5589084890059213,-0.554191700078718,-0.5499933074354317,-0.5471622342284491,-0.5452800077119037,-0.5422441412376088,-0.5348737222427872,-0.5327190704064151,-0.5327804526211936,-0.5344018210643299,-0.5351200590187091,-0.5336235671892154,-0.5326683627370699,-0.5166275847041447
-0.5821622046040148,-0.5730567447127441,-0.567726100438324,-0.5633647659532927,-0.56046591993495,-0.5586857691213141,-0.5557439357692487,-0.5489629434793528,-0.5469436358167968,-0.5473210115431015,-0.5491314130006686,-0.5496999973991364,-0.5482551741267457,-0.5474154692591355,-0.5315182124648801
-0.5972344713468715,-0.5874820126442388,-0.5814936766694473,-0.5769676206259533,-0.5739998407466146,-0.5723279133785696,-0.5694874991745792,-0.5633683809735658,-0.5614896897717359,-0.56220420151285,-0.5642166018901208,-0.564605975655013,-0.5632116551205514,-0.5624965751148125,-0.546774107206818
-0.6126004764537925,-0.6021842928004275,-0.5954944287720537,-0.5908018714534137,-0.5877639966635115,-0.5862064404836701,-0.5834748314535886,-0.5780900347254146,-0.5763572322712207,-0.5774300225304614,-0.5796573877326864,-0.5798379937862933,-0.578493010170655,-0.5779116803041234,-0.5623952689299359
-0.6282602199248231,-0.6171635851812652,-0.609728356746109,-0.6048675184356966,-0.6017583876855611,-0.6003213504365704,-0.5977059326063341,-0.5931279047349107,-0.5915462633153084,-0.5929984745958905,-0.595453770528377,-0.5953960517929546,-0.5940992392770227,-0.5936607848271024,-0.5783816976342223
-0.6442137017598726,-0.6324198897867745,-0.6241954605916362,-0.619164561572768,-0.6159830138127745,-0.6146726432373044,-0.612180802632804,-0.6084819910020656,-0.6070567829039875,-0.6089095577091485,-0.6116057502771582,-0.6112801496750422,-0.6100303424396771,-0.609743888683704,-0.5947333932667676
-0.6604609219590089,-0.6479532066169895,-0.638895740308692,-0.6336930008646732,-0.6304378750451748,-0.6292603188858721,-0.6268994415329872,-0.6241522935268563,-0.6228887910371896,-0.6251629385547404,-0.6281133269790757,-0.6274902874325221,-0.6262863196586295,-0.6261609918739282,-0.6114493508596752
-0.6770018805222549,-0.6637635356718647,-0.653828873137013,-0.6484528150889218,-0.6451229713827502,-0.6440843773822735,-0.6418618493068834,-0.6401388123092716,-0.639041330278019,-0.64175053127027,-0.6449757177800507,-0.644026465065349,-0.6428671709338688,-0.6429120943977977,-0.6285239837288373
-0.6938356495116751,-0.6798466834035708,-0.6689924630400698,-0.6634436380633246,-0.6600383028254783,-0.6591448187265088,-0.6570680259545157,-0.6564413766998882,-0.6555047486164427,-0.6586495462257971,-0.6621805428705443,-0.6608886825735795,-0.6597728962653833,-0.6599971962552786,-0.6459473328238915
-0.7109396159034418,-0.6961705813605135,-0.6843817727908459,-0.6786645274522243,-0.6751838693733931,-0.6744416429185891,-0.6725179714758497,-0.673050777839785,-0.6722579123943093,-0.6758296028816291,-0.679696721046264,-0.6780769399572478,-0.6770034956531616,-0.6774162974464049,-0.6637086435825609
-0.7282499724952232,-0.7126711752640518,-0.6999914740318218,-0.6941142818230333,-0.6905596710264832,-0.6899748499584917,-0.6882116858709083,-0.6899359300113929,-0.6892759189682351,-0.6932600143244486,-0.6974851046548679,-0.695591237216297,-0.6945589690972382,-0.6951693979711877,-0.6817971614954673
-0.7456816111445732,-0.7292760974069439,-0.7158162379493206,-0.7097916930624479,-0.7061657077847259,-0.7057444398462166,-0.7041491691396686,-0.7070517008676007,-0.7065338412214373,-0.7109104269564228,-0.7155063668894854,-0.7134315743507272,-0.7124393165975903,-0.7132564978295932,-0.7002031369681846
-0.7631485597996516,-0.7459129711244031,-0.7318510584899627,-0.725695574279621,-0.7220019796481553,-0.7217504125817641,-0.7203304212821536,-0.7243519207304872,-0.7240077094740854,-0.728758239726642,-0.7337219637973249,-0.7315979513605839,-0.7306445381542404,-0.7316775970216214,-0.718921402122453
-0.780565774346553,-0.762513613299359,-0.7480930028766579,-0.7418250835434607,-0.7380684866167826,-0.737992768165168,-0.7367554422983403,-0.7417905905716566,-0.7416822486194292,-0.746795555351696,-0.7521049483810771,-0.7500903682458555,-0.7491746337671658,-0.7504326955473062,-0.7379511614462786
-0.7978698957572306,-0.7790377157185958,-0.7645414795228362,-0.7581799550763664,-0.754365228690574,-0.7544715065963943,-0.753424232188229,-0.7593307495721092,-0.7595536651988027,-0.7650220674579828,-0.7706470750381754,-0.7689088250064857,-0.7680296034363892,-0.7695217934066136,-0.7572924149396272
-0.8150387591823005,-0.7954769559959005,-0.7811964879723974,-0.7747601821975991,-0.7708922058695293,-0.7711866278754542,-0.770336790951842,-0.776957313771527,-0.777621934738852,-0.7834377760455482,-0.7893481646141026,-0.7880533216425534,-0.7872094471619108,-0.788944890599521,-0.7769451626025672
-0.8320715007123226,-0.8118313251736027,-0.7980580282253072,-0.7915657649071023,-0.7876494181536488,-0.788138132002348,-0.7874931185891684,-0.7946692458391567,-0.7958870572396223,-0.8020426811143581,-0.8082082171088928,-0.8075238581540476,-0.8067141649437191,-0.8087019871260623,-0.7969094044350642
-0.8489681203472514,-0.8281008232516798,-0.815126100281566,-0.8085967032049667,-0.8046368655429661,-0.8053260189770755,-0.8048932151002078,-0.8124665457750438,-0.8143490327010455,-0.8208367826643894,-0.8272272325225459,-0.8273204345409113,-0.8265437567817685,-0.8287930829862717,-0.8171851404370956
-0.8657286180871439,-0.8442854502301771,-0.8324007041412074,-0.8258529970911582,-0.8218545480374473,-0.8227502887996253,-0.8225370804849719,-0.830349213579143,-0.8330078611231557,-0.8398200806956879,-0.8464052108550164,-0.8474430508031447,-0.8466982226761162,-0.8492181781801151,-0.837772370608684
-0.8823529939319883,-0.860385206109072,-0.8498818398042091,-0.8433346465656086,-0.8393024656370812,-0.8404109414700088,-0.8404247147434604,-0.8483172492514199,-0.8518635425059529,-0.8589925752082423,-0.8657421521063384,-0.8678917069407818,-0.8671775626267618,-0.8699772727075583,-0.8586710949498866
-0.8988412478817622,-0.8764000908883305,-0.8675695072705936,-0.8610416516284092,-0.8569806183419132,-0.8583079769882147,-0.858556117875662,-0.8663706527919431,-0.8709160768494144,-0.8783542662020183,-0.8852380562765121,-0.8886664029538225,-0.8879817766336827,-0.8910703665686583,-0.8798813134606235
-0.9152048837124994,-0.8923406758471741,-0.8854637065403496,-0.8789740122795707,-0.8748890061519433,-0.8764413953542659,-0.8769312898815884,-0.8845094242006895,-0.8901654641535515,-0.8979051536770499,-0.9048929233655145,-0.9097671388422556,-0.9091108646968906,-0.912497459763415,-0.9014030261408834
-0.9316021017470462,-0.9083415407845223,-0.903564437613511,-0.8971317285190253,-0.8930276290671146,-0.8948111965681506,-0.8955502307612279,-0.9027335634776137,-0.9096117044183871,-0.9176452376333373,-0.9247067533733457,-0.931193914606115,-0.9305648268164077,-0.9342585522917716,-0.923236232990746
-0.9484142151903256,-0.9247196355426468,-0.9218717004900329,-0.915514800346773,-0.9113964870874611,-0.9134173806298351,-0.9144129405145578,-0.9210430706227839,-0.9292547976438983,-0.9375745180708805,-0.944679546300074,-0.9529467302453896,-0.9523436629922003,-0.9563536441537621,-0.9453809340101884
-0.9661119544195458,-0.9418618148608062,-0.9403854951699032,-0.9341232277628706,-0.9299955802130285,-0.9322599475393759,-0.9335194191416236,-0.9394379456362003,-0.9490947438300965,-0.9576929949896794,-0.9648113021456426,-0.9750255857600679,-0.9744473732242795,-0.9787827353493981,-0.9678371291991653
-0.9851675468725716,-0.9601559055725034,-0.9591058216531452,-0.9529570107672839,-0.9488249084437484,-0.9513388972967278,-0.9528696666423798,-0.9579181885178174,-0.9691315429769702,-0.9780006683897342,-0.9851020209100512,-0.9974304811501157,-0.9968759575126114,-1.0015458258786794,-0.9906048185576879
-1.006041716211223,-0.9799791632320081,-0.978032679939804,-0.9720161493600018,-0.9678844717795982,-0.9706542299019361,-0.9724636830168607,-0.9764837992676462,-0.9893651950845084,-0.9984975382710333,-1.0055517025933343,-1.0201532729443101,-1.0196294158572186,-1.0246429157415604,-1.0136840020858018
-1.0290484895505416,-1.0015848348739156,-0.997166070029789,-0.9913006435410467,-0.9871742702206688,-0.9902059453549669,-0.9923014682650547,-0.9951347778856985,-1.0097957001528017,-1.0191841460288176,-1.026160380992485,-1.043106717345802,-1.0427071713835971,-1.048073462344405,-1.0370529562690762
-1.0542787811233894,-1.0250437974893885,-1.0165059919231454,-1.0108104933103848,-1.0066943037669147,-1.0099940436558428,-1.0123830223869505,-1.01387112437194,-1.0304278563167713,-1.0400711464027839,-1.046942238023371,-1.066096045173424,-1.0660729180488033,-1.0717963237616233,-1.0605638840851044
-1.0817340840176257,-1.0503570231726713,-1.0360544475290228,-1.030545698668061,-1.026456240421726,-1.030018547265115,-1.0327083453825594,-1.0327233649939787,-1.0512903431702398,-1.0611869678345216,-1.067961453699445,-1.0888896155016938,-1.0896003987741212,-1.0956634666920424,-1.083933344390755
-1.1114034666929002,-1.0775293918904596,-1.0560480236251464,-1.0506036619994803,-1.0466700003943061,-1.050341258815365,-1.0532823017499824,-1.0518996592554004,-1.0724356673132776,-1.0825685058222576,-1.0893237101590785,-1.111255484190747,-1.113103807132711,-1.119453681022378,-1.1068465959944775
-1.1432303278911264,-1.1066015660573727,-1.077402502240659,-1.0716317066723378,-1.0678821148750672,-1.0712821795731542,-1.0742447029871982,-1.0717995300948133,-1.093921079028155,-1.1042529211683132,-1.1111403078900934,-1.1329698505718626,-1.1363925860912218,-1.142939414464422,-1.1289888917835014
-1.1771164272152532,-1.1376571706620098,-1.101530886139017,-1.0948609909726428,-1.0907933891863424,-1.0933967221304215,-1.0960065194069673,-1.0928667657125288,-1.1158038285971315,-1.1262768332797577,-1.133522513583341,-1.1538880143019812,-1.1592767554908052,-1.1658936573235452,-1.1500672081594758
-1.2129566312524618,-1.170791918332668,-1.1298967865261718,-1.1216540035504523,-1.1161088760035682,-1.1172792694817417,-1.1191268654331565,-1.1155451631038433,-1.138136368167602,-1.1486667482192048,-1.1565674458107424,-1.1739728004224503,-1.1816020643410867,-1.1881299992371055,-1.1699145950319463
-1.2506255691270554,-1.2061015492446474,-1.1639126078924051,-1.153367332769949,-1.1445219599987126,-1.143524182161093,-1.1441719232878882,-1.1402479929964444,-1.1609472684280264,-1.1714313983473859,-1.180322225046723,-1.1932857512526993,-1.203304212687442,-1.2095689212180218,-1.1885001772831971
-1.2898096546097917,-1.2436769236065972,-1.2041406303421696,-1.1909161491703117,-1.1765277736379631,-1.1726640405304694,-1.1717030106953303,-1.1672108928820535,-1.1842412730606497,-1.1945710489683505,-1.2047943609899108,-1.2122877469070885,-1.2244004262089563,-1.2302327619899416,-1.205980035699588
-1.329968786038944,-1.2835731191792548,-1.2495349017712103,-1.2338129600410754,-1.2122848384063332,-1.2049732263178725,-1.2021464983796477,-1.1964781368173818,-1.2080183820655295,-1.2180870104590782,-1.2300502315376094,-1.2318912070312535,-1.2451561573551433,-1.2504439017204505,-1.2230501811531327
-1.3705104107284114,-1.325802251149287,-1.2981836211088649,-1.2804286088557093,-1.2517974016567905,-1.2404907099259277,-1.2356575982502478,-1.2280497335974587,-1.2323293541823774,-1.24209349226212,-1.2562943104777788,-1.2531229942224174,-1.26618662605016,-1.2709330048606602,-1.2408498945484894
-1.410816511676876,-1.370339511406746,-1.3481079116880892,-1.3289579319281983,-1.2950144723657673,-1.2792151138374492,-1.2722433781055429,-1.2619054013994173,-1.2577464273300394,-1.2670114668862198,-1.2838110732023098,-1.27701006354489,-1.2882368867835226,-1.2925754048355773,-1.260577027662214
-1.4501092865110876,-1.4167084916085062,-1.397255878955025,-1.3775274612855926,-1.3413394026204288,-1.3209526768243904,-1.3118624228584168,-1.2978636178378906,-1.2855677665551186,-1.2934767648246748,-1.3128894960154411,-1.3045175245292515,-1.312053561013886,-1.316247838131119,-1.2834290014188012
-1.4876179636839197,-1.4636468510294436,-1.4440122760831742,-1.4244309642200732,-1.389402885107586,-1.364933806715885,-1.354046440530351,-1.3355420586559377,-1.3173492674517888,-1.3221449001778525,-1.3438166638721556,-1.336211308365182,-1.3383612939143403,-1.3427983603344842,-1.3104475808871257
-1.5228003147807954,-1.509521852109049,-1.4876227615210609,-1.4687028731121359,-1.437554527139912,-1.4099578745476835,-1.397732086663416,-1.3744983387155685,-1.3544838224532216,-1.3536700766692094,-1.3768151751792743,-1.3720546840281487,-1.367641249081828,-1.3727812624926514,-1.3421297347567134
-1.5552081956527672,-1.5526895558043294,-1.527700700532114,-1.5099274367165436,-1.4841408441905286,-1.4547780393112932,-1.441644333140846,-1.4142898551297094,-1.396841568498917,-1.3885935989564815,-1.4119645593707904,-1.411308477480509,-1.4000058409644793,-1.4062909529798278,-1.3782625166601747
-1.584427340064849,-1.5915308587292432,-1.563875925533557,-1.547733580583497,-1.527559342756092,-1.4981488375154073,-1.484506058862337,-1.4544942868341764,-1.4418587831593415,-1.4271031577981264,-1.449227243787243,-1.452717785821551,-1.4353571616018144,-1.4430816432362008,-1.417923548316469
-1.6104743935590364,-1.6250054677136747,-1.5960322417564612,-1.5818523547665564,-1.5668165581407494,-1.5390202936559265,-1.525081557814815,-1.4948467702966015,-1.4862696628832852,-1.4687828219729342,-1.488516257994627,-1.4949490908932606,-1.4735217831552176,-1.4827371903639914,-1.4597697674001098
-1.634331665658874,-1.653691364784004,-1.6249901090541359,-1.6127057001226603,-1.602199983531,-1.5771056718272918,-1.562642218093379,-1.5352350692329197,-1.5280633405628352,-1.5127035003824176,-1.5297318295874789,-1.5366690182980052,-1.5143138364581887,-1.5248164950303589,-1.5024265157737773
-1.6576154883267464,-1.6794849047076585,-1.6524498691129679,-1.6417265033209334,-1.63491372797198,-1.6130181321881312,-1.597676671635827,-1.5755337791610486,-1.566340314154286,-1.557783859242636,-1.5727741536436612,-1.5767019979998056,-1.5575474577564137,-1.568878523173737,-1.5445240075150652
-1.682008392343562,-1.7045367397760405,-1.6802985520308766,-1.67078143489465,-1.666356321839294,-1.6477259495971794,-1.6316515494883903,-1.6155883862735323,-1.601738529742363,-1.602941885192638,-1.61754839832322,-1.614866885896561,-1.6030557649697585,-1.6145338391218276,-1.5849920002876332
-1.7091913879072538,-1.73099774770119,-1.7104232174613345,-1.7017502587830222,-1.6979270210786694,-1.6822217466774532,-1.6662606329923506,-1.6552438871751178,-1.6368083136016822,-1.6471484392722686,-1.6639968322757568,-1.6525168578871106,-1.6507523638613066,-1.6615885351624118,-1.6239911378655791
-1.740594600246425,-1.7608915686653177,-1.744579174937394,-1.7364848189946431,-1.7309862067275277,-1.717495256639745,-1.7031984194974257,-1.6943547443031208,-1.6741256313885176,-1.6901323178317513,-1.7121066210130609,-1.6917558090975606,-1.7006248131031385,-1.7100176548603772,-1.6631010064911267
-1.7768746027030833,-1.795417272188354,-1.7837639711596922,-1.7763228489091945,-1.7667797770485323,-1.7545358489946241,-1.7440791891365737,-1.7332069199793865,-1.7150495458129627,-1.7330428193865146,-1.7618777320184793,-1.7347407992126367,-1.7526731126952655,-1.7598211982157068,-1.7043973955062028
-1.8180975881980432,-1.8348935195517015,-1.8281634026780353,-1.8217032132732585,-1.8065731446237012,-1.7945794090778693,-1.7898950306795314,-1.7731447161401208,-1.760313503535474,-1.7777939858964829,-1.8133101652920458,-1.7836210442011295,-1.806897262637682,-1.8109991652283783,-1.7499695696236475
-1.8642635567312937,-1.879483421889836,-1.8777774990479772,-1.8726390054927153,-1.8517335512341446,-1.8391742769793948,-1.8408717174464302,-1.8162041591347136,-1.810661990789174,-1.8263491615103817,-1.8664208513557359,-1.8400430157385814,-1.8633189555073217,-1.8636092008271363,-1.8018752676906784
-1.9153725083029145,-1.9293777678883999,-1.9326062602695289,-1.9291302255675988,-1.9036349456742414,-1.8899372574298923,-1.8970099654457955,-1.864476694163375,-1.866839585180594,-1.8806663845389266,-1.9217930165128565,-1.9043750040994838,-1.9224105951732495,-1.9185985768406626,-1.8616207242872007
-1.9714349623852172,-1.9847686464958543,-1.9926514353277185,-1.991202151350035,-1.9635719450985676,-1.948477901536535,-1.958309857814072,-1.9200407717854093,-1.9295776656313137,-1.942350296050199,-1.981215647316526,-1.9761325463785397,-1.9854670414431834,-1.978371731280822,-1.9297659601992507
-2.032772129350144,-2.0459476699733727,-2.058078285414035,-2.0590858460849177,-2.0321257450183565,-2.0160347634399276,-2.0248774722668146,-1.98448807252164,-1.9994438810740576,-2.0121078591408037,-2.047172674609783,-2.054761707314282,-2.0541911509005275,-2.0459735100894703,-2.006432206771399
-2.1003419857155565,-2.1134355815748225,-2.1295042236590573,-2.133271379179564,-2.1088779151297556,-2.0927684245385425,-2.097238118030441,-2.058261280853435,-2.076794612258766,-2.0900483923758317,-2.122186578535076,-2.139709713682555,-2.130300339681003,-2.1244414504877396,-2.091728141298984
-2.175456936813805,-2.1878759914102828,-2.2078673202980212,-2.2143276402178915,-2.1930370403962574,-2.1780236301509603,-2.176288087177954,-2.141071514298062,-2.161925411683217,-2.1762331563555737,-2.2087220572262996,-2.2305201106800494,-2.215490331343398,-2.2159932129008784,-2.185761068381197
-2.2594472220729584,-2.2699044685031935,-2.2941359139533573,-2.302824156411134,-2.2838064792172648,-2.271043518914928,-2.262981334560732,-2.232573544050672,-2.255131740471802,-2.270722693950637,-2.307863310053648,-2.3269959412994865,-2.311006138154397,-2.320328373447353,-2.2886097718159535
-2.35360244138509,-2.3601552816142544,-2.3892726781507125,-2.3993546749799064,-2.3806560898640896,-2.371078268227586,-2.3582717318937854,-2.3324183273358132,-2.356672773046108,-2.373561773959028,-2.4180244998705347,-2.4291208977433314,-2.417270316442034,-2.4347479246263957,-2.4003009907714103
-2.458678983277548,-2.4591554040392114,-2.4940381702121046,-2.5044583917388765,-2.483962944336065,-2.4775620074971587,-2.463007156312949,-2.440292868636766,-2.4666756497719233,-2.4847658172552203,-2.5362099404342815,-2.5369783756718562,-2.534178782269959,-2.555953727514384,-2.520719942940889
